Year,Category,Film,FilmId,Winner,Nominees,Song
1934,Best Adapted Screenplay,The Thin Man,tt0025878,,"Frances Goodrich, Albert Hackett",
1934,Best Adapted Screenplay,Viva Villa!,tt0025948,,Ben Hecht,
1934,Best Adapted Screenplay,It Happened One Night,tt0025316,TRUE,Robert Riskin,
1934,Best Cinematography,Operator 13,tt0025607,,George Folsey,
1934,Best Cinematography,The Affairs of Cellini,tt0024816,,Charles Rosher,
1934,Best Cinematography,Cleopatra,tt0024991,TRUE,Victor Milner,
1934,Best Director,The Thin Man,tt0025878,,W. S. Van Dyke,
1934,Best Director,One Night of Love,tt0025601,,Victor Schertzinger,
1934,Best Director,It Happened One Night,tt0025316,TRUE,Frank Capra,
1934,Best Film Editing,One Night of Love,tt0025601,,Gene Milford,
1934,Best Film Editing,Cleopatra,tt0024991,,Anne Bauchens,
1934,Best Film Editing,Eskimo,tt0023990,TRUE,Conrad Nervig,
1934,Best Leading Actor,The Affairs of Cellini,tt0024816,,Frank Morgan,"Allesandro, Duke of Florence"
1934,Best Leading Actor,The Thin Man,tt0025878,,William Powell,Nick Charles
1934,Best Leading Actor,It Happened One Night,tt0025316,TRUE,Clark Gable,Peter Warne
1934,Best Leading Actress,The Barretts of Wimpole Street,tt0024865,,Norma Shearer,Elizabeth Barrett
1934,Best Leading Actress,Of Human Bondage,tt0025586,,Bette Davis,Mildred
1934,Best Leading Actress,It Happened One Night,tt0025316,TRUE,Claudette Colbert,Ellie Andrews
1934,Best Leading Actress,One Night of Love,tt0025601,,Grace Moore,Mary
1934,Best Original Screenplay,The Richest Girl in the World,tt0025718,,Norman Krasna,
1934,Best Original Screenplay,Hide-Out,tt0025251,,Mauri Grashin,
1934,Best Original Screenplay,Manhattan Melodrama,tt0025464,TRUE,Arthur Caesar,
1934,Best Original Song,She Loves Me Not,tt0025774,,Music by Ralph Rainger; Lyrics by Leo Robin,Love In Bloom
1934,Best Original Song,Flying Down to Rio,tt0024025,,Music by Vincent Youmans; Lyrics by Edward Eliscu and Gus Kahn,Carioca
1934,Best Original Song,The Gay Divorcee,tt0025164,TRUE,Music by Con Conrad; Lyrics by Herb Magidson,The Continental
1934,Best Picture,The Barretts of Wimpole Street,tt0024865,,Metro-Goldwyn-Mayer,
1934,Best Picture,The House of Rothschild,tt0025272,,20th Century,
1934,Best Picture,Cleopatra,tt0024991,,Paramount,
1934,Best Picture,Flirtation Walk,tt0025124,,First National,
